heure_aggr,TP_s,date,heure,jour
2018-07-07 11:00:00,546.2148941986667,2018-07-07 11:00:00,11:00,2018/07/07
2018-07-07 11:06:00,536.0268455971667,2018-07-07 11:06:00,11:06,2018/07/07
2018-07-07 11:12:00,523.1016227931667,2018-07-07 11:12:00,11:12,2018/07/07
2018-07-07 11:18:00,530.0607485896667,2018-07-07 11:18:00,11:18,2018/07/07
2018-07-07 11:24:00,560.8047491983334,2018-07-07 11:24:00,11:24,2018/07/07
2018-07-07 11:30:00,575.6632745971666,2018-07-07 11:30:00,11:30,2018/07/07
2018-07-07 11:36:00,568.3789781953334,2018-07-07 11:36:00,11:36,2018/07/07
2018-07-07 11:42:00,548.8380131979999,2018-07-07 11:42:00,11:42,2018/07/07
2018-07-07 11:48:00,512.264631596,2018-07-07 11:48:00,11:48,2018/07/07
2018-07-07 11:54:00,531.7605869941666,2018-07-07 11:54:00,11:54,2018/07/07
2018-07-07 12:00:00,541.7858339948333,2018-07-07 12:00:00,12:00,2018/07/07
2018-07-07 12:06:00,520.3220609921667,2018-07-07 12:06:00,12:06,2018/07/07
2018-07-07 12:12:00,517.1883443921666,2018-07-07 12:12:00,12:12,2018/07/07
2018-07-07 12:18:00,553.3503317978333,2018-07-07 12:18:00,12:18,2018/07/07
2018-07-07 12:24:00,532.5649355969999,2018-07-07 12:24:00,12:24,2018/07/07
2018-07-07 12:30:00,505.63336439433334,2018-07-07 12:30:00,12:30,2018/07/07
2018-07-07 12:36:00,506.71595699483333,2018-07-07 12:36:00,12:36,2018/07/07
2018-07-07 12:42:00,528.3678239923333,2018-07-07 12:42:00,12:42,2018/07/07
2018-07-07 12:48:00,515.3867093976667,2018-07-07 12:48:00,12:48,2018/07/07
2018-07-07 12:54:00,532.3443083956666,2018-07-07 12:54:00,12:54,2018/07/07
2018-07-07 13:00:00,539.0760593955,2018-07-07 13:00:00,13:00,2018/07/07
2018-07-07 13:06:00,506.57838239716665,2018-07-07 13:06:00,13:06,2018/07/07
2018-07-07 13:12:00,494.74368239616666,2018-07-07 13:12:00,13:12,2018/07/07
2018-07-07 13:18:00,501.51202199383334,2018-07-07 13:18:00,13:18,2018/07/07
2018-07-07 13:24:00,511.0521647936667,2018-07-07 13:24:00,13:24,2018/07/07
2018-07-07 13:30:00,516.2561435966667,2018-07-07 13:30:00,13:30,2018/07/07
2018-07-07 13:36:00,509.2282697945,2018-07-07 13:36:00,13:36,2018/07/07
2018-07-07 13:42:00,507.9208553921667,2018-07-07 13:42:00,13:42,2018/07/07
2018-07-07 13:48:00,520.8506831968333,2018-07-07 13:48:00,13:48,2018/07/07
2018-07-07 13:54:00,511.70076179533334,2018-07-07 13:54:00,13:54,2018/07/07
2018-07-07 14:00:00,520.8886895986667,2018-07-07 14:00:00,14:00,2018/07/07
2018-07-07 14:06:00,516.6391511953334,2018-07-07 14:06:00,14:06,2018/07/07
2018-07-07 14:12:00,513.3527951951668,2018-07-07 14:12:00,14:12,2018/07/07
2018-07-07 14:18:00,527.8361057965001,2018-07-07 14:18:00,14:18,2018/07/07
2018-07-07 14:24:00,529.8159737968334,2018-07-07 14:24:00,14:24,2018/07/07
2018-07-07 14:30:00,521.9505731956666,2018-07-07 14:30:00,14:30,2018/07/07
2018-07-07 14:36:00,533.9764019953333,2018-07-07 14:36:00,14:36,2018/07/07
2018-07-07 14:42:00,531.3302513933332,2018-07-07 14:42:00,14:42,2018/07/07
2018-07-07 14:48:00,535.1447039953333,2018-07-07 14:48:00,14:48,2018/07/07
2018-07-07 14:54:00,547.0632881969999,2018-07-07 14:54:00,14:54,2018/07/07
2018-07-07 15:00:00,531.2643149955,2018-07-07 15:00:00,15:00,2018/07/07
2018-07-07 15:06:00,495.5010311973333,2018-07-07 15:06:00,15:06,2018/07/07
2018-07-07 15:12:00,507.73381319833334,2018-07-07 15:12:00,15:12,2018/07/07
2018-07-07 15:18:00,509.793304792,2018-07-07 15:18:00,15:18,2018/07/07
2018-07-07 15:24:00,512.6991815963333,2018-07-07 15:24:00,15:24,2018/07/07
2018-07-07 15:30:00,519.1079075958334,2018-07-07 15:30:00,15:30,2018/07/07
2018-07-07 15:36:00,511.23271919583334,2018-07-07 15:36:00,15:36,2018/07/07
2018-07-07 15:42:00,529.0965419965,2018-07-07 15:42:00,15:42,2018/07/07
2018-07-07 15:48:00,522.8329301943334,2018-07-07 15:48:00,15:48,2018/07/07
2018-07-07 15:54:00,512.8691795938333,2018-07-07 15:54:00,15:54,2018/07/07
2018-07-07 16:00:00,507.55586339266665,2018-07-07 16:00:00,16:00,2018/07/07
2018-07-07 16:06:00,486.211934997,2018-07-07 16:06:00,16:06,2018/07/07
2018-07-07 16:12:00,523.4091209968333,2018-07-07 16:12:00,16:12,2018/07/07
2018-07-07 16:18:00,505.41586559366664,2018-07-07 16:18:00,16:18,2018/07/07
2018-07-07 16:24:00,484.9736819931666,2018-07-07 16:24:00,16:24,2018/07/07
2018-07-07 16:30:00,493.68498239616673,2018-07-07 16:30:00,16:30,2018/07/07
2018-07-07 16:36:00,517.9639625955,2018-07-07 16:36:00,16:36,2018/07/07
2018-07-07 16:42:00,510.706454995,2018-07-07 16:42:00,16:42,2018/07/07
2018-07-07 16:48:00,512.8320899938334,2018-07-07 16:48:00,16:48,2018/07/07
2018-07-07 16:54:00,483.16962299616665,2018-07-07 16:54:00,16:54,2018/07/07
2018-07-07 17:00:00,479.6342687946667,2018-07-07 17:00:00,17:00,2018/07/07
2018-07-07 17:06:00,512.4906005926667,2018-07-07 17:06:00,17:06,2018/07/07
2018-07-07 17:12:00,502.48426439533335,2018-07-07 17:12:00,17:12,2018/07/07
2018-07-07 17:18:00,477.07181819550004,2018-07-07 17:18:00,17:18,2018/07/07
2018-07-07 17:24:00,488.39864999366665,2018-07-07 17:24:00,17:24,2018/07/07
2018-07-07 17:30:00,509.29674239416664,2018-07-07 17:30:00,17:30,2018/07/07
2018-07-07 17:36:00,538.157113796,2018-07-07 17:36:00,17:36,2018/07/07
2018-07-07 17:42:00,515.0558411978334,2018-07-07 17:42:00,17:42,2018/07/07
2018-07-07 17:48:00,502.3448171953334,2018-07-07 17:48:00,17:48,2018/07/07
2018-07-07 17:54:00,495.05086019316667,2018-07-07 17:54:00,17:54,2018/07/07
2018-07-07 18:00:00,541.5697367956667,2018-07-07 18:00:00,18:00,2018/07/07
2018-07-07 18:06:00,524.6383061958333,2018-07-07 18:06:00,18:06,2018/07/07
2018-07-07 18:12:00,495.22689959383337,2018-07-07 18:12:00,18:12,2018/07/07
2018-07-07 18:18:00,486.47387459533337,2018-07-07 18:18:00,18:18,2018/07/07
2018-07-07 18:24:00,497.9968865981666,2018-07-07 18:24:00,18:24,2018/07/07
2018-07-07 18:30:00,494.08157938999994,2018-07-07 18:30:00,18:30,2018/07/07
2018-07-07 18:36:00,482.1238595925001,2018-07-07 18:36:00,18:36,2018/07/07
2018-07-07 18:42:00,479.07800519750003,2018-07-07 18:42:00,18:42,2018/07/07
2018-07-07 18:48:00,548.9154407953333,2018-07-07 18:48:00,18:48,2018/07/07
2018-07-07 18:54:00,562.5905399960001,2018-07-07 18:54:00,18:54,2018/07/07
2018-07-07 19:00:00,506.9409161963333,2018-07-07 19:00:00,19:00,2018/07/07
2018-07-07 19:06:00,509.1313601956667,2018-07-07 19:06:00,19:06,2018/07/07
2018-07-07 19:12:00,508.13707019183335,2018-07-07 19:12:00,19:12,2018/07/07
